0;1;2
C1.03.05.03.01::aclara;7;
C1.03.05.03.01::aclara;8;
C1.03.05.03.01.02::vagocom;1;
C1.03.05.03.01.02::vagocom;2;
C1.03.05.03.01.02::vagocom;3;
C1.03.05.03.01.02::vagocom;4;
C1.03.05.03.01.02::vagocom;5;
C1.03.05.03.01.02::vagocom;6;
C1.03.05.03.01.02::vagocom;7;
C1.03.05.03.01.02::vagocom;8;
C1.03.05.03.01.01.01::sgleicy;1;
C1.03.05.03.01.01.01::sgleicy;2;
C1.03.05.03.01.01.01::sgleicy;3;
C1.03.05.03.01.01.01::sgleicy;4;
C1.03.05.03.01.01.01::sgleicy;5;
C1.03.05.03.01.01.01::sgleicy;6;
C1.03.05.03.01.01.01::sgleicy;7;
C1.03.05.03.01.01.01::sgleicy;8;
C1.01.04.03::mjanaina;1;78.0
C1.01.04.03::mjanaina;2;78.0
C1.01.04.03::mjanaina;3;78.0
C1.01.04.03::mjanaina;4;73.37
C1.01.04.03::mjanaina;5;69.49
C1.01.04.03::mjanaina;6;50.91
C1.01.04.03::mjanaina;7;0.0
C1.01.04.03::mjanaina;8;
C1.03.07.03.01::sadriene;1;64.2
C1.03.07.03.01::sadriene;2;79.83
C1.03.07.03.01::sadriene;3;85.18
C1.03.07.03.01::sadriene;4;88.1
C1.03.07.03.01::sadriene;5;85.24
C1.03.07.03.01::sadriene;6;84.95
C1.03.07.03.01::sadriene;7;
C1.03.07.03.01::sadriene;8;
C1.03.07.03.01::vago58;1;
C1.03.07.03.01::vago58;2;
C1.03.07.03.01::vago58;3;
C1.03.07.03.01::vago58;4;
C1.03.07.03.01::vago58;5;
C1.03.07.03.01::vago58;6;
C1.03.07.03.01::vago58;7;
C1.03.07.03.01::vago58;8;
C1.03.07.03.01.01::kdebora;1;
C1.03.07.03.01.01::kdebora;2;
C1.03.07.03.01.01::kdebora;3;
C1.03.07.03.01.01::kdebora;4;
C1.03.07.03.01.01::kdebora;5;
C1.03.07.03.01.01::kdebora;6;
C1.03.07.03.01.01::kdebora;7;
C1.03.07.03.01.01::kdebora;8;
C1.03.07.03.01.01::OP001vago_200;1;
C1.03.07.03.01.01::OP001vago_200;2;
C1.03.07.03.01.01::OP001vago_200;3;
C1.03.07.03.01.01::OP001vago_200;4;
C1.03.07.03.01.01::OP001vago_200;5;
C1.03.07.03.01.01::OP001vago_200;6;
C1.03.07.03.01.01::OP001vago_200;7;
C1.03.07.03.01.01::OP001vago_200;8;
C1.03.07.03.01.01::msheron;1;
C1.03.07.03.01.01::msheron;2;
C1.03.07.03.01.01::msheron;3;
C1.03.07.03.01.01::msheron;4;
C1.03.07.03.01.01::msheron;5;
C1.03.07.03.01.01::msheron;6;
C1.03.07.03.01.01::msheron;7;
C1.03.07.03.01.01::msheron;8;
C1.03.07.03.01.02::vago56;1;
C1.03.07.03.01.02::vago56;2;
C1.03.07.03.01.02::vago56;3;
C1.03.07.03.01.02::vago56;4;
C1.03.07.03.01.02::vago56;5;
C1.03.07.03.01.02::vago56;6;
C1.03.07.03.01.02::vago56;7;
C1.03.07.03.01.02::vago56;8;
C1.03.07.03.01.02::rcamila;1;
C1.03.07.03.01.02::rcamila;2;
C1.03.07.03.01.02::rcamila;3;
C1.03.07.03.01.02::rcamila;4;
C1.03.07.03.01.02::rcamila;5;
C1.03.07.03.01.02::rcamila;6;
C1.03.07.03.01.02::rcamila;7;
C1.03.07.03.01.02::rcamila;8;
C1.03.07.03.01.02::bkaren;1;26.0
C1.03.07.03.01.02::bkaren;2;26.0
C1.03.07.03.01.02::bkaren;3;62.0
C1.03.07.03.01.02::bkaren;4;86.78
C1.03.07.03.01.02::bkaren;5;93.02
C1.03.07.03.01.02::bkaren;6;94.06
C1.03.07.03.01.02::bkaren;7;28.35
C1.03.07.03.01.02::bkaren;8;
C1.03.07.03.01.02::bthaise;1;
C1.03.07.03.01.02::bthaise;2;
C1.03.07.03.01.02::bthaise;3;
C1.03.07.03.01.02::bthaise;4;
C1.03.07.03.01.02::bthaise;5;
C1.03.07.03.01.02::bthaise;6;
C1.03.07.03.01.02::bthaise;7;
C1.03.07.03.01.02::bthaise;8;
C1.03.02.03.01::slaura;1;
C1.03.02.03.01::slaura;2;
C1.03.02.03.01::slaura;3;
C1.03.02.03.01::slaura;4;
C1.03.02.03.01::slaura;5;
C1.03.02.03.01::slaura;6;
C1.03.02.03.01::slaura;7;
C1.03.02.03.01::slaura;8;
C1.03.02.03.01::vago59;1;
C1.03.02.03.01::vago59;2;
C1.03.02.03.01::vago59;3;
C1.03.02.03.01::vago59;4;
C1.03.02.03.01::vago59;5;
C1.03.02.03.01::vago59;6;
C1.03.02.03.01::vago59;7;
C1.03.02.03.01::vago59;8;
C1.03.02.03.01::mdeborah;1;92.54
C1.03.02.03.01::mdeborah;2;88.52
C1.03.02.03.01::mdeborah;3;105.95
C1.03.02.03.01::mdeborah;4;104.47
C1.03.02.03.01::mdeborah;5;104.15
C1.03.02.03.01::mdeborah;6;104.61
C1.03.02.03.01::mdeborah;7;
C1.03.02.03.01::mdeborah;8;
C1.03.02.03.01::jemilia;1;
C1.03.02.03.01::jemilia;2;
C1.03.02.03.01::jemilia;3;
C1.03.02.03.01::jemilia;4;
C1.03.02.03.01::jemilia;5;
C1.03.02.03.01::jemilia;6;
C1.03.02.03.01::jemilia;7;
C1.03.02.03.01::jemilia;8;
C1.03.02.03.01::drejane;1;
C1.03.02.03.01::drejane;2;
C1.03.02.03.01::drejane;3;
C1.03.02.03.01::drejane;4;
C1.03.02.03.01::drejane;5;
C1.03.02.03.01::drejane;6;
C1.03.02.03.01::drejane;7;
C1.03.02.03.01::drejane;8;
C1.03.02.03.01.01::gpatrick;1;91.0
C1.03.02.03.01.01::gpatrick;2;87.97
C1.03.02.03.01.01::gpatrick;3;90.91
C1.03.02.03.01.01::gpatrick;4;90.71
C1.03.02.03.01.01::gpatrick;5;91.0
C1.03.02.03.01.01::gpatrick;6;90.72
C1.03.02.03.01.01::gpatrick;7;
C1.03.02.03.01.01::gpatrick;8;
C1.03.02.03.01.02::vbruna;1;
C1.03.02.03.01.02::vbruna;2;
C1.03.02.03.01.02::vbruna;3;
C1.03.02.03.01.02::vbruna;4;
C1.03.02.03.01.02::vbruna;5;
C1.03.02.03.01.02::vbruna;6;
C1.03.02.03.01.02::vbruna;7;
C1.03.02.03.01.02::vbruna;8;
C1.03.02.03.01.02::bfilipe;1;
C1.03.02.03.01.02::bfilipe;2;
C1.03.02.03.01.02::bfilipe;3;
C1.03.02.03.01.02::bfilipe;4;
C1.03.02.03.01.02::bfilipe;5;
C1.03.02.03.01.02::bfilipe;6;
C1.03.02.03.01.02::bfilipe;7;
C1.03.02.03.01.02::bfilipe;8;
C1.03.02.03.01.02::fpatricia;1;
C1.03.02.03.01.02::fpatricia;2;
C1.03.02.03.01.02::fpatricia;3;
C1.03.02.03.01.02::fpatricia;4;
C1.03.02.03.01.02::fpatricia;5;
C1.03.02.03.01.02::fpatricia;6;
C1.03.02.03.01.02::fpatricia;7;
C1.03.02.03.01.02::fpatricia;8;
C1.03.09.15::athiago;1;61.51
C1.03.09.15::athiago;2;64.12
C1.03.09.15::athiago;3;82.7
C1.03.09.15::athiago;4;56.88
C1.03.09.15::athiago;5;55.35
C1.03.09.15::athiago;6;55.25
C1.03.09.15::athiago;7;56.16
C1.03.09.15::athiago;8;
C1.03.09.02::bedilene;1;26.0
C1.03.09.02::bedilene;2;26.0
C1.03.09.02::bedilene;3;26.0
C1.03.09.02::bedilene;4;26.0
C1.03.09.02::bedilene;5;56.17
C1.03.09.02::bedilene;6;57.4
C1.03.09.02::bedilene;7;0.0
C1.03.09.02::bedilene;8;
C1.03.09.02::agisele;1;
C1.03.09.02::agisele;2;
C1.03.09.02::agisele;3;
C1.03.09.02::agisele;4;
C1.03.09.02::agisele;5;
C1.03.09.02::agisele;6;
C1.03.09.02::agisele;7;
C1.03.09.02::agisele;8;
C1.03.09.02.01::rcamilla;1;
C1.03.09.02.01::rcamilla;2;
C1.03.09.02.01::rcamilla;3;
C1.03.09.02.01::rcamilla;4;
C1.03.09.02.01::rcamilla;5;
C1.03.09.02.01::rcamilla;6;
C1.03.09.02.01::rcamilla;7;
C1.03.09.02.01::rcamilla;8;
C1.03.01.03.01::proza;1;
C1.03.01.03.01::proza;2;
C1.03.01.03.01::proza;3;
C1.03.01.03.01::proza;4;
C1.03.01.03.01::proza;5;
C1.03.01.03.01::proza;6;
C1.03.01.03.01::proza;7;
C1.03.01.03.01::proza;8;
C1.03.01.03.01::cluciana;1;91.1
C1.03.01.03.01::cluciana;2;86.39
C1.03.01.03.01::cluciana;3;105.27
C1.03.01.03.01::cluciana;4;101.58
C1.03.01.03.01::cluciana;5;82.09
C1.03.01.03.01::cluciana;6;80.85
C1.03.01.03.01::cluciana;7;
C1.03.01.03.01::cluciana;8;
C1.03.01.03.01::epietro;1;
C1.03.01.03.01::epietro;2;
