0;1
C1.03.09.15::MKT_035::2023/11;PSJS
C1.03.09.15::MKT_035::2023/12;PSJS
C1.03.09.15::MKT_036::2023/1;PSJS
C1.03.09.15::MKT_036::2023/2;PSJS
C1.03.09.15::MKT_036::2023/3;PSJS
C1.03.09.15::MKT_036::2023/4;PSJS
C1.03.09.15::MKT_036::2023/5;PSJS
C1.03.09.15::MKT_036::2023/6;PSJS
C1.03.09.15::MKT_036::2023/7;PSJS
C1.03.09.15::MKT_036::2023/8;PSJS
C1.03.09.15::MKT_036::2023/9;PSJS
C1.03.09.15::MKT_036::2023/10;PSJS
C1.03.09.15::MKT_036::2023/11;PSJS
C1.03.09.15::MKT_036::2023/12;PSJS
C1.03.09.15::MKT_038::2023/1;PSJS
C1.03.09.15::MKT_038::2023/2;PSJS
C1.03.09.15::MKT_038::2023/3;PSJS
C1.03.09.15::MKT_038::2023/4;PSJS
C1.03.09.15::MKT_038::2023/5;PSJS
C1.03.09.15::MKT_038::2023/6;PSJS
C1.03.09.15::MKT_038::2023/7;PSJS
C1.03.09.15::MKT_038::2023/8;PSJS
C1.03.09.15::MKT_038::2023/9;PSJS
C1.03.09.15::MKT_038::2023/10;PSJS
C1.03.09.15::MKT_038::2023/11;PSJS
C1.03.09.15::MKT_038::2023/12;PSJS
C1.03.09.15::MKT_039::2023/1;PSJS
C1.03.09.15::MKT_039::2023/2;PSJS
C1.03.09.15::MKT_039::2023/3;PSJS
C1.03.09.15::MKT_039::2023/4;PSJS
C1.03.09.15::MKT_039::2023/5;PSJS
C1.03.09.15::MKT_039::2023/6;PSJS
C1.03.09.15::MKT_039::2023/7;PSJS
C1.03.09.15::MKT_039::2023/8;PSJS
C1.03.09.15::MKT_039::2023/9;PSJS
C1.03.09.15::MKT_039::2023/10;PSJS
C1.03.09.15::MKT_039::2023/11;PSJS
C1.03.09.15::MKT_039::2023/12;PSJS
C1.03.07.03.01::MKT_044::2023/1;PSRG
C1.03.07.03.01::MKT_044::2023/2;PSRG
C1.03.07.03.01::MKT_044::2023/3;PSRG
C1.03.07.03.01::MKT_044::2023/4;PSRG
C1.03.07.03.01::MKT_044::2023/5;PSRG
C1.03.07.03.01::MKT_044::2023/6;PSRG
C1.03.07.03.01::MKT_044::2023/7;PSRG
C1.03.07.03.01::MKT_044::2023/8;PSRG
C1.03.07.03.01::MKT_044::2023/9;PSRG
C1.03.07.03.01::MKT_044::2023/10;PSRG
C1.03.07.03.01::MKT_044::2023/11;PSRG
C1.03.07.03.01::MKT_044::2023/12;PSRG
C1.03.07.03.01::MKT_045::2023/1;PSRG
C1.03.07.03.01::MKT_045::2023/2;PSRG
C1.03.07.03.01::MKT_045::2023/3;PSRG
C1.03.07.03.01::MKT_045::2023/4;PSRG
C1.03.07.03.01::MKT_045::2023/5;PSRG
C1.03.07.03.01::MKT_045::2023/6;PSRG
C1.03.07.03.01::MKT_045::2023/7;PSRG
C1.03.07.03.01::MKT_045::2023/8;PSRG
C1.03.07.03.01::MKT_045::2023/9;PSRG
C1.03.07.03.01::MKT_045::2023/10;PSRG
C1.03.07.03.01::MKT_045::2023/11;PSRG
C1.03.07.03.01::MKT_045::2023/12;PSRG
C1.03.07.03.01::MKT_047::2023/1;PSRG
C1.03.07.03.01::MKT_047::2023/2;PSRG
C1.03.07.03.01::MKT_047::2023/3;PSRG
C1.03.07.03.01::MKT_047::2023/4;PSRG
C1.03.07.03.01::MKT_047::2023/5;PSRG
C1.03.07.03.01::MKT_047::2023/6;PSRG
C1.03.07.03.01::MKT_047::2023/7;PSRG
C1.03.07.03.01::MKT_047::2023/8;PSRG
C1.03.07.03.01::MKT_047::2023/9;PSRG
C1.03.07.03.01::MKT_047::2023/10;PSRG
C1.03.07.03.01::MKT_047::2023/11;PSRG
C1.03.07.03.01::MKT_047::2023/12;PSRG
C1.03.07.03.01::MKT_048::2023/1;PSRG
C1.03.07.03.01::MKT_048::2023/2;PSRG
C1.03.07.03.01::MKT_048::2023/3;PSRG
C1.03.07.03.01::MKT_048::2023/4;PSRG
C1.03.07.03.01::MKT_048::2023/5;PSRG
C1.03.07.03.01::MKT_048::2023/6;PSRG
C1.03.07.03.01::MKT_048::2023/7;PSRG
C1.03.07.03.01::MKT_048::2023/8;PSRG
C1.03.07.03.01::MKT_048::2023/9;PSRG
C1.03.07.03.01::MKT_048::2023/10;PSRG
C1.03.07.03.01::MKT_048::2023/11;PSRG
C1.03.07.03.01::MKT_048::2023/12;PSRG
C1.03.07.03.01.02::MKT_049::2023/1;PSRG
C1.03.07.03.01.02::MKT_049::2023/2;PSRG
C1.03.07.03.01.02::MKT_049::2023/3;PSRG
C1.03.07.03.01.02::MKT_049::2023/4;PSRG
C1.03.07.03.01.02::MKT_049::2023/5;PSRG
